Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Owner occupied,percent_own
0500000US48001,48001,"Anderson County, Texas",16567,11748,0.709120541
0500000US48003,48003,"Andrews County, Texas",5413,3981,0.73545169
0500000US48005,48005,"Angelina County, Texas",30931,20424,0.660308428
0500000US48007,48007,"Aransas County, Texas",9529,7039,0.738692413
0500000US48009,48009,"Archer County, Texas",3351,2752,0.821247389
0500000US48011,48011,"Armstrong County, Texas",702,569,0.810541311
0500000US48013,48013,"Atascosa County, Texas",15509,11537,0.743890644
0500000US48015,48015,"Austin County, Texas",11021,8175,0.74176572
0500000US48017,48017,"Bailey County, Texas",2230,1609,0.721524664
0500000US48019,48019,"Bandera County, Texas",8278,7007,0.846460498
0500000US48021,48021,"Bastrop County, Texas",26015,19911,0.765366135
0500000US48023,48023,"Baylor County, Texas",1644,1273,0.7743309
0500000US48025,48025,"Bee County, Texas",8531,5375,0.630055093
0500000US48027,48027,"Bell County, Texas",116397,63767,0.54784058
0500000US48029,48029,"Bexar County, Texas",627889,368817,0.587392039
0500000US48031,48031,"Blanco County, Texas",4230,3240,0.765957447
0500000US48033,48033,"Borden County, Texas",248,183,0.737903226
0500000US48035,48035,"Bosque County, Texas",7027,5435,0.773445282
0500000US48037,48037,"Bowie County, Texas",33171,21583,0.650658708
0500000US48039,48039,"Brazoria County, Texas",117088,84216,0.719253895
0500000US48041,48041,"Brazos County, Texas",77480,35247,0.454917398
0500000US48043,48043,"Brewster County, Texas",3932,2155,0.548067141
0500000US48045,48045,"Briscoe County, Texas",664,504,0.759036145
0500000US48047,48047,"Brooks County, Texas",2022,1243,0.614737883
0500000US48049,48049,"Brown County, Texas",13835,10038,0.725551138
0500000US48051,48051,"Burleson County, Texas",6565,5126,0.780807312
0500000US48053,48053,"Burnet County, Texas",16545,12610,0.762163796
0500000US48055,48055,"Caldwell County, Texas",12894,8672,0.672560881
0500000US48057,48057,"Calhoun County, Texas",7733,5458,0.705806285
0500000US48059,48059,"Callahan County, Texas",5291,4352,0.822528823
0500000US48061,48061,"Cameron County, Texas",122188,82068,0.671653518
0500000US48063,48063,"Camp County, Texas",4730,3345,0.707188161
0500000US48065,48065,"Carson County, Texas",2292,1948,0.84991274
0500000US48067,48067,"Cass County, Texas",11811,9196,0.778596224
0500000US48069,48069,"Castro County, Texas",2462,1584,0.643379366
0500000US48071,48071,"Chambers County, Texas",13320,11023,0.827552553
0500000US48073,48073,"Cherokee County, Texas",17885,13172,0.736483086
0500000US48075,48075,"Childress County, Texas",2282,1254,0.549517967
0500000US48077,48077,"Clay County, Texas",4076,3479,0.853532875
0500000US48079,48079,"Cochran County, Texas",1000,761,0.761
0500000US48081,48081,"Coke County, Texas",1574,1121,0.712198221
0500000US48083,48083,"Coleman County, Texas",3470,2467,0.710951009
0500000US48085,48085,"Collin County, Texas",323905,212556,0.65622945
0500000US48087,48087,"Collingsworth County, Texas",1099,883,0.803457689
0500000US48089,48089,"Colorado County, Texas",7603,6240,0.82072866
0500000US48091,48091,"Comal County, Texas",47253,35605,0.753497132
0500000US48093,48093,"Comanche County, Texas",5107,4002,0.783630311
0500000US48095,48095,"Concho County, Texas",791,564,0.713021492
0500000US48097,48097,"Cooke County, Texas",15185,10456,0.688574251
0500000US48099,48099,"Coryell County, Texas",22424,12916,0.575990011
0500000US48101,48101,"Cottle County, Texas",664,434,0.653614458
0500000US48103,48103,"Crane County, Texas",1479,1158,0.78296146
0500000US48105,48105,"Crockett County, Texas",1411,1027,0.727852587
0500000US48107,48107,"Crosby County, Texas",2064,1415,0.685562016
0500000US48109,48109,"Culberson County, Texas",735,490,0.666666667
0500000US48111,48111,"Dallam County, Texas",2432,1450,0.596217105
0500000US48113,48113,"Dallas County, Texas",906179,457251,0.50459236
0500000US48115,48115,"Dawson County, Texas",4339,3085,0.710993316
0500000US48117,48117,"Deaf Smith County, Texas",6118,3978,0.650212488
0500000US48119,48119,"Delta County, Texas",2035,1571,0.771990172
0500000US48121,48121,"Denton County, Texas",275164,177522,0.645149802
0500000US48123,48123,"DeWitt County, Texas",7260,5465,0.752754821
0500000US48125,48125,"Dickens County, Texas",832,595,0.715144231
0500000US48127,48127,"Dimmit County, Texas",3476,2448,0.704257768
0500000US48129,48129,"Donley County, Texas",1230,915,0.743902439
0500000US48131,48131,"Duval County, Texas",3845,2584,0.672041612
0500000US48133,48133,"Eastland County, Texas",6437,4817,0.748329967
0500000US48135,48135,"Ector County, Texas",51475,33994,0.660398252
0500000US48137,48137,"Edwards County, Texas",634,551,0.869085174
0500000US48139,48139,"Ellis County, Texas",54725,39978,0.730525354
0500000US48141,48141,"El Paso County, Texas",263200,162108,0.615911854
0500000US48143,48143,"Erath County, Texas",13827,8803,0.636652925
0500000US48145,48145,"Falls County, Texas",5405,3931,0.727289547
0500000US48147,48147,"Fannin County, Texas",12027,8977,0.746403925
0500000US48149,48149,"Fayette County, Texas",9298,7552,0.812217681
0500000US48151,48151,"Fisher County, Texas",1696,1227,0.723466981
0500000US48153,48153,"Floyd County, Texas",2320,1687,0.727155172
0500000US48155,48155,"Foard County, Texas",562,451,0.802491103
0500000US48157,48157,"Fort Bend County, Texas",222331,173534,0.780520935
0500000US48159,48159,"Franklin County, Texas",3931,2929,0.745103027
0500000US48161,48161,"Freestone County, Texas",7232,5409,0.747925885
0500000US48163,48163,"Frio County, Texas",4530,3174,0.700662252
0500000US48165,48165,"Gaines County, Texas",5716,4364,0.763470959
0500000US48167,48167,"Galveston County, Texas",117455,77873,0.663002852
0500000US48169,48169,"Garza County, Texas",1715,1115,0.650145773
0500000US48171,48171,"Gillespie County, Texas",10795,8234,0.762760537
0500000US48173,48173,"Glasscock County, Texas",475,341,0.717894737
0500000US48175,48175,"Goliad County, Texas",2755,2256,0.818874773
0500000US48177,48177,"Gonzales County, Texas",7018,4822,0.687090339
0500000US48179,48179,"Gray County, Texas",7971,5995,0.752101367
0500000US48181,48181,"Grayson County, Texas",47550,31863,0.670094637
0500000US48183,48183,"Gregg County, Texas",45615,26844,0.588490628
0500000US48185,48185,"Grimes County, Texas",8980,6983,0.777616927
0500000US48187,48187,"Guadalupe County, Texas",51990,39219,0.754356607
0500000US48189,48189,"Hale County, Texas",11217,6774,0.603904787
0500000US48191,48191,"Hall County, Texas",1244,779,0.626205788
0500000US48193,48193,"Hamilton County, Texas",3157,2389,0.756731074
0500000US48195,48195,"Hansford County, Texas",1924,1404,0.72972973
0500000US48197,48197,"Hardeman County, Texas",1533,1150,0.750163079
0500000US48199,48199,"Hardin County, Texas",20739,16757,0.8079946
0500000US48201,48201,"Harris County, Texas",1562813,855629,0.547492886
0500000US48203,48203,"Harrison County, Texas",23363,17328,0.741685571
0500000US48205,48205,"Hartley County, Texas",1754,1067,0.608323831
0500000US48207,48207,"Haskell County, Texas",2128,1655,0.777725564
0500000US48209,48209,"Hays County, Texas",68045,42242,0.620795062
0500000US48211,48211,"Hemphill County, Texas",1358,929,0.684094256
0500000US48213,48213,"Henderson County, Texas",30459,22968,0.754062839
0500000US48215,48215,"Hidalgo County, Texas",232523,156949,0.67498269
0500000US48217,48217,"Hill County, Texas",12674,9350,0.737730787
0500000US48219,48219,"Hockley County, Texas",8065,5533,0.686050837
0500000US48221,48221,"Hood County, Texas",21527,16373,0.760579737
0500000US48223,48223,"Hopkins County, Texas",13287,9209,0.693083465
0500000US48225,48225,"Houston County, Texas",8328,5721,0.686959654
0500000US48227,48227,"Howard County, Texas",11032,7508,0.680565627
0500000US48229,48229,"Hudspeth County, Texas",890,665,0.747191011
0500000US48231,48231,"Hunt County, Texas",31781,22146,0.69683144
0500000US48233,48233,"Hutchinson County, Texas",7799,6202,0.795230158
0500000US48235,48235,"Irion County, Texas",648,514,0.793209877
0500000US48237,48237,"Jack County, Texas",3075,2524,0.820813008
0500000US48239,48239,"Jackson County, Texas",5232,3650,0.697629969
0500000US48241,48241,"Jasper County, Texas",11974,8997,0.751377986
0500000US48243,48243,"Jeff Davis County, Texas",1007,809,0.803376365
0500000US48245,48245,"Jefferson County, Texas",94020,58181,0.618815146
0500000US48247,48247,"Jim Hogg County, Texas",1587,1205,0.759294266
0500000US48249,48249,"Jim Wells County, Texas",13614,9447,0.693918026
0500000US48251,48251,"Johnson County, Texas",55467,40981,0.738835704
0500000US48253,48253,"Jones County, Texas",5635,4162,0.738598048
0500000US48255,48255,"Karnes County, Texas",4303,3200,0.743667209
0500000US48257,48257,"Kaufman County, Texas",36525,28175,0.771389459
0500000US48259,48259,"Kendall County, Texas",13691,9975,0.72858082
0500000US48261,48261,"Kenedy County, Texas",152,43,0.282894737
0500000US48263,48263,"Kent County, Texas",275,202,0.734545455
0500000US48265,48265,"Kerr County, Texas",20580,14660,0.71234208
0500000US48267,48267,"Kimble County, Texas",1941,1458,0.751159196
0500000US48269,48269,"King County, Texas",101,20,0.198019802
0500000US48271,48271,"Kinney County, Texas",1200,928,0.773333333
0500000US48273,48273,"Kleberg County, Texas",10958,5808,0.530023727
0500000US48275,48275,"Knox County, Texas",1376,1110,0.806686047
0500000US48277,48277,"Lamar County, Texas",19085,12273,0.643070474
0500000US48279,48279,"Lamb County, Texas",4790,3399,0.70960334
0500000US48281,48281,"Lampasas County, Texas",7748,5758,0.743159525
0500000US48283,48283,"La Salle County, Texas",2286,1607,0.702974628
0500000US48285,48285,"Lavaca County, Texas",7684,5801,0.754945341
0500000US48287,48287,"Lee County, Texas",6118,4739,0.774599542
0500000US48289,48289,"Leon County, Texas",6245,4897,0.784147318
0500000US48291,48291,"Liberty County, Texas",25974,19440,0.748440748
0500000US48293,48293,"Limestone County, Texas",8100,6109,0.754197531
0500000US48295,48295,"Lipscomb County, Texas",1276,935,0.732758621
0500000US48297,48297,"Live Oak County, Texas",3586,2959,0.825153374
0500000US48299,48299,"Llano County, Texas",8681,6647,0.765695196
0500000US48301,48301,"Loving County, Texas",31,16,0.516129032
0500000US48303,48303,"Lubbock County, Texas",110275,61694,0.559455906
0500000US48305,48305,"Lynn County, Texas",2147,1475,0.687005123
0500000US48307,48307,"McCulloch County, Texas",3143,2398,0.76296532
0500000US48309,48309,"McLennan County, Texas",88208,51140,0.579766008
0500000US48311,48311,"McMullen County, Texas",194,143,0.737113402
0500000US48313,48313,"Madison County, Texas",4174,3069,0.735265932
0500000US48315,48315,"Marion County, Texas",4457,3528,0.791563832
0500000US48317,48317,"Martin County, Texas",1635,1261,0.771253823
0500000US48319,48319,"Mason County, Texas",1622,1185,0.730579531
0500000US48321,48321,"Matagorda County, Texas",13811,9359,0.677648251
0500000US48323,48323,"Maverick County, Texas",16416,11170,0.680433723
0500000US48325,48325,"Medina County, Texas",15154,12448,0.821433285
0500000US48327,48327,"Menard County, Texas",964,643,0.667012448
0500000US48329,48329,"Midland County, Texas",55045,36750,0.667635571
0500000US48331,48331,"Milam County, Texas",9437,6444,0.682844124
0500000US48333,48333,"Mills County, Texas",1833,1553,0.847244954
0500000US48335,48335,"Mitchell County, Texas",2639,2005,0.759757484
0500000US48337,48337,"Montague County, Texas",8044,5784,0.719045251
0500000US48339,48339,"Montgomery County, Texas",186861,133082,0.712197837
0500000US48341,48341,"Moore County, Texas",6725,4294,0.638513011
0500000US48343,48343,"Morris County, Texas",5024,3732,0.742834395
0500000US48345,48345,"Motley County, Texas",469,336,0.71641791
0500000US48347,48347,"Nacogdoches County, Texas",23825,13308,0.558572928
0500000US48349,48349,"Navarro County, Texas",17326,11889,0.686194159
0500000US48351,48351,"Newton County, Texas",4781,3957,0.827651119
0500000US48353,48353,"Nolan County, Texas",5552,3845,0.692543228
0500000US48355,48355,"Nueces County, Texas",128857,74465,0.577888667
0500000US48357,48357,"Ochiltree County, Texas",3549,2562,0.721893491
0500000US48359,48359,"Oldham County, Texas",581,429,0.7383821
0500000US48361,48361,"Orange County, Texas",32272,24309,0.753253594
0500000US48363,48363,"Palo Pinto County, Texas",10441,7331,0.702135811
0500000US48365,48365,"Panola County, Texas",9032,6995,0.774468556
0500000US48367,48367,"Parker County, Texas",43942,34062,0.775158163
0500000US48369,48369,"Parmer County, Texas",3222,2221,0.689323402
0500000US48371,48371,"Pecos County, Texas",4420,3075,0.695701357
0500000US48373,48373,"Polk County, Texas",17632,13523,0.766957804
0500000US48375,48375,"Potter County, Texas",43453,24906,0.573171012
0500000US48377,48377,"Presidio County, Texas",2589,1543,0.595983005
0500000US48379,48379,"Rains County, Texas",4333,3346,0.772213247
0500000US48381,48381,"Randall County, Texas",49118,34303,0.698379413
0500000US48383,48383,"Reagan County, Texas",1171,823,0.702818104
0500000US48385,48385,"Real County, Texas",1123,862,0.767586821
0500000US48387,48387,"Red River County, Texas",5218,3956,0.758144883
0500000US48389,48389,"Reeves County, Texas",3731,2674,0.716697936
0500000US48391,48391,"Refugio County, Texas",2694,1947,0.722717149
0500000US48393,48393,"Roberts County, Texas",326,242,0.742331288
0500000US48395,48395,"Robertson County, Texas",6298,4691,0.744839632
0500000US48397,48397,"Rockwall County, Texas",30365,24414,0.804017784
0500000US48399,48399,"Runnels County, Texas",3781,2714,0.717799524
0500000US48401,48401,"Rusk County, Texas",17982,13677,0.760593927
0500000US48403,48403,"Sabine County, Texas",3811,3353,0.879821569
0500000US48405,48405,"San Augustine County, Texas",3202,2537,0.792317302
0500000US48407,48407,"San Jacinto County, Texas",9414,7812,0.829827916
0500000US48409,48409,"San Patricio County, Texas",23246,15546,0.668760217
0500000US48411,48411,"San Saba County, Texas",2135,1438,0.6735363
0500000US48413,48413,"Schleicher County, Texas",1102,847,0.768602541
0500000US48415,48415,"Scurry County, Texas",5838,4327,0.741178486
0500000US48417,48417,"Shackelford County, Texas",1257,992,0.789180589
0500000US48419,48419,"Shelby County, Texas",9218,6580,0.713820785
0500000US48421,48421,"Sherman County, Texas",1063,860,0.809031044
0500000US48423,48423,"Smith County, Texas",77801,51275,0.659053226
0500000US48425,48425,"Somervell County, Texas",3234,2391,0.739332096
0500000US48427,48427,"Starr County, Texas",16320,12136,0.743627451
0500000US48429,48429,"Stephens County, Texas",3361,2653,0.789348408
0500000US48431,48431,"Sterling County, Texas",462,393,0.850649351
0500000US48433,48433,"Stonewall County, Texas",458,348,0.759825328
0500000US48435,48435,"Sutton County, Texas",1573,1073,0.682136046
0500000US48437,48437,"Swisher County, Texas",2602,1814,0.697156034
0500000US48439,48439,"Tarrant County, Texas",689921,418852,0.607101393
0500000US48441,48441,"Taylor County, Texas",49443,29152,0.589608236
0500000US48443,48443,"Terrell County, Texas",343,263,0.766763848
0500000US48445,48445,"Terry County, Texas",4142,2894,0.698696282
0500000US48447,48447,"Throckmorton County, Texas",712,520,0.730337079
0500000US48449,48449,"Titus County, Texas",10675,7163,0.671007026
0500000US48451,48451,"Tom Green County, Texas",43081,27169,0.630649242
0500000US48453,48453,"Travis County, Texas",447561,234225,0.523336484
0500000US48455,48455,"Trinity County, Texas",5934,4616,0.777890125
0500000US48457,48457,"Tyler County, Texas",7312,6163,0.84286105
0500000US48459,48459,"Upshur County, Texas",14061,10823,0.769717659
0500000US48461,48461,"Upton County, Texas",1308,954,0.729357798
0500000US48463,48463,"Uvalde County, Texas",8624,6284,0.728664193
0500000US48465,48465,"Val Verde County, Texas",15189,9592,0.631509645
0500000US48467,48467,"Van Zandt County, Texas",19354,14926,0.771210086
0500000US48469,48469,"Victoria County, Texas",32734,21458,0.655526364
0500000US48471,48471,"Walker County, Texas",21294,11241,0.527895182
0500000US48473,48473,"Waller County, Texas",14698,10084,0.686079739
0500000US48475,48475,"Ward County, Texas",3954,2767,0.699797673
0500000US48477,48477,"Washington County, Texas",12205,9398,0.77001229
0500000US48479,48479,"Webb County, Texas",72379,45601,0.63003081
0500000US48481,48481,"Wharton County, Texas",15224,10269,0.674527063
0500000US48483,48483,"Wheeler County, Texas",2287,1461,0.638828159
0500000US48485,48485,"Wichita County, Texas",48528,29759,0.613233597
0500000US48487,48487,"Wilbarger County, Texas",5155,3343,0.648496605
0500000US48489,48489,"Willacy County, Texas",5737,4465,0.778281332
0500000US48491,48491,"Williamson County, Texas",170051,117210,0.689263809
0500000US48493,48493,"Wilson County, Texas",15755,13157,0.835099968
0500000US48495,48495,"Winkler County, Texas",2524,1974,0.782091918
0500000US48497,48497,"Wise County, Texas",21691,16642,0.767230649
0500000US48499,48499,"Wood County, Texas",16122,12965,0.804180623
0500000US48501,48501,"Yoakum County, Texas",2652,2054,0.774509804
0500000US48503,48503,"Young County, Texas",7066,5530,0.782621002
0500000US48505,48505,"Zapata County, Texas",4457,3222,0.722907786
0500000US48507,48507,"Zavala County, Texas",3536,2452,0.693438914
