CountyID,CountyNames,AllAgesPovertyPercent,Median Household Income in Dollars
48001,Anderson County (TX),18.8,42412
48003,Andrews County (TX),13,63451
48005,Angelina County (TX),20,45318
48007,Aransas County (TX),18.1,46970
48009,Archer County (TX),10.1,58311
48011,Armstrong County (TX),10.6,55337
48013,Atascosa County (TX),16.9,48636
48015,Austin County (TX),10.7,61111
48017,Bailey County (TX),17.2,42045
48019,Bandera County (TX),11.9,55578
48021,Bastrop County (TX),11.5,62992
48023,Baylor County (TX),17.7,37013
48025,Bee County (TX),26.6,41392
48027,Bell County (TX),13.8,52164
48029,Bexar County (TX),15.6,54163
48031,Blanco County (TX),10.6,62115
48033,Borden County (TX),11,59039
48035,Bosque County (TX),16,49139
48037,Bowie County (TX),15.9,49153
48039,Brazoria County (TX),9,80840
48041,Brazos County (TX),23.9,46083
48043,Brewster County (TX),14,44617
48045,Briscoe County (TX),15.3,42678
48047,Brooks County (TX),35,28106
48049,Brown County (TX),16.8,41538
48051,Burleson County (TX),16.6,47409
48053,Burnet County (TX),10.4,59009
48055,Caldwell County (TX),14.5,51895
48057,Calhoun County (TX),16.3,55240
48059,Callahan County (TX),14,45843
48061,Cameron County (TX),27.7,36624
48063,Camp County (TX),20.3,41932
48065,Carson County (TX),8.5,60668
48067,Cass County (TX),19,40104
48069,Castro County (TX),17.2,41746
48071,Chambers County (TX),9.5,81018
48073,Cherokee County (TX),17.2,47147
48075,Childress County (TX),20.3,40925
48077,Clay County (TX),11.8,53438
48079,Cochran County (TX),24.8,40796
48081,Coke County (TX),13.3,42314
48083,Coleman County (TX),25.2,35596
48085,Collin County (TX),5.9,95394
48087,Collingsworth County (TX),18,39809
48089,Colorado County (TX),14.9,49100
48091,Comal County (TX),8.9,72562
48093,Comanche County (TX),15,46161
48095,Concho County (TX),15.4,42723
48097,Cooke County (TX),13,57382
48099,Coryell County (TX),13.6,51486
48101,Cottle County (TX),21.2,36201
48103,Crane County (TX),11.7,56356
48105,Crockett County (TX),16.8,44991
48107,Crosby County (TX),22.3,36942
48109,Culberson County (TX),22.1,37825
48111,Dallam County (TX),11.5,47838
48113,Dallas County (TX),14.8,56732
48115,Dawson County (TX),21.7,42127
48117,Deaf Smith County (TX),17.7,42698
48119,Delta County (TX),17.5,41644
48121,Denton County (TX),7.1,86462
48123,DeWitt County (TX),18.8,47657
48125,Dickens County (TX),21.2,38702
48127,Dimmit County (TX),31.2,35696
48129,Donley County (TX),19.9,41867
48131,Duval County (TX),28.6,33495
48133,Eastland County (TX),16.8,39620
48135,Ector County (TX),13.5,54422
48137,Edwards County (TX),22.6,35164
48139,Ellis County (TX),8.5,71512
48141,El Paso County (TX),21,44120
48143,Erath County (TX),15.8,48230
48145,Falls County (TX),27.6,35988
48147,Fannin County (TX),12.9,50598
48149,Fayette County (TX),10.8,56320
48151,Fisher County (TX),14.7,47292
48153,Floyd County (TX),20.2,41390
48155,Foard County (TX),18,35007
48157,Fort Bend County (TX),8,91661
48159,Franklin County (TX),14.8,44358
48161,Freestone County (TX),16.1,47616
48163,Frio County (TX),27.9,37853
48165,Gaines County (TX),15,52138
48167,Galveston County (TX),12,69674
48169,Garza County (TX),25.3,46587
48171,Gillespie County (TX),10.9,58412
48173,Glasscock County (TX),9.4,78088
48175,Goliad County (TX),15.2,52403
48177,Gonzales County (TX),16.7,45052
48179,Gray County (TX),17,46599
48181,Grayson County (TX),13.4,54431
48183,Gregg County (TX),16.5,47208
48185,Grimes County (TX),18,48023
48187,Guadalupe County (TX),9.3,66886
48189,Hale County (TX),19.9,43570
48191,Hall County (TX),24,32980
48193,Hamilton County (TX),16.1,44230
48195,Hansford County (TX),11.9,55761
48197,Hardeman County (TX),18,39022
48199,Hardin County (TX),12.7,58829
48201,Harris County (TX),15.9,58664
48203,Harrison County (TX),17.3,50584
48205,Hartley County (TX),8.9,69000
48207,Haskell County (TX),20.6,35075
48209,Hays County (TX),12.2,66525
48211,Hemphill County (TX),10,64338
48213,Henderson County (TX),17.2,44500
48215,Hidalgo County (TX),29.5,36978
48217,Hill County (TX),14.9,47162
48219,Hockley County (TX),16.2,48449
48221,Hood County (TX),10.6,64687
48223,Hopkins County (TX),13.7,44925
48225,Houston County (TX),22.3,37723
48227,Howard County (TX),18.1,46899
48229,Hudspeth County (TX),18.3,39683
48231,Hunt County (TX),16.9,53421
48233,Hutchinson County (TX),12.9,53465
48235,Irion County (TX),9.3,63827
48237,Jack County (TX),17.4,47824
48239,Jackson County (TX),16,49350
48241,Jasper County (TX),20,43368
48243,Jeff Davis County (TX),12.8,38537
48245,Jefferson County (TX),18.6,47852
48247,Jim Hogg County (TX),27.3,32319
48249,Jim Wells County (TX),23.7,40681
48251,Johnson County (TX),10.4,61813
48253,Jones County (TX),20.9,44132
48255,Karnes County (TX),22.1,48708
48257,Kaufman County (TX),9.3,65942
48259,Kendall County (TX),7.3,89637
48261,Kenedy County (TX),15.2,38031
48263,Kent County (TX),13.3,45330
48265,Kerr County (TX),13.3,49748
48267,Kimble County (TX),18.6,41081
48269,King County (TX),13.9,56346
48271,Kinney County (TX),20.1,42650
48273,Kleberg County (TX),25.5,41257
48275,Knox County (TX),20.6,37749
48277,Lamar County (TX),16.2,47212
48279,Lamb County (TX),20,41099
48281,Lampasas County (TX),13.2,55759
48283,La Salle County (TX),29.2,41518
48285,Lavaca County (TX),12.1,51191
48287,Lee County (TX),12.7,54164
48289,Leon County (TX),16.1,43189
48291,Liberty County (TX),15.5,50420
48293,Limestone County (TX),19.1,41434
48295,Lipscomb County (TX),13.4,54091
48297,Live Oak County (TX),17.4,50430
48299,Llano County (TX),12.9,51078
48301,Loving County (TX),9.7,65203
48303,Lubbock County (TX),18.9,47460
48305,Lynn County (TX),18.1,44567
48307,McCulloch County (TX),19.4,40157
48309,McLennan County (TX),17.3,47306
48311,McMullen County (TX),11.6,68133
48313,Madison County (TX),18.3,42058
48315,Marion County (TX),22.8,36936
48317,Martin County (TX),13.3,59907
48319,Mason County (TX),12.5,47213
48321,Matagorda County (TX),18,46801
48323,Maverick County (TX),27,33507
48325,Medina County (TX),14.7,56173
48327,Menard County (TX),20.6,34033
48329,Midland County (TX),10.7,76307
48331,Milam County (TX),19.3,44855
48333,Mills County (TX),15.8,42463
48335,Mitchell County (TX),20.6,41512
48337,Montague County (TX),15.3,47590
48339,Montgomery County (TX),8.9,77149
48341,Moore County (TX),11.7,51444
48343,Morris County (TX),18.4,39627
48345,Motley County (TX),17.7,36782
48347,Nacogdoches County (TX),23.9,42367
48349,Navarro County (TX),16.9,41944
48351,Newton County (TX),20.8,41736
48353,Nolan County (TX),19.3,42662
48355,Nueces County (TX),16.1,51910
48357,Ochiltree County (TX),12.3,58962
48359,Oldham County (TX),12.8,55451
48361,Orange County (TX),13.7,57257
48363,Palo Pinto County (TX),16.8,45869
48365,Panola County (TX),15,48971
48367,Parker County (TX),8,74076
48369,Parmer County (TX),13.3,48189
48371,Pecos County (TX),20.6,44352
48373,Polk County (TX),18,44596
48375,Potter County (TX),18.5,43778
48377,Presidio County (TX),23.4,29761
48379,Rains County (TX),17,43403
48381,Randall County (TX),8.8,63077
48383,Reagan County (TX),11.4,58168
48385,Real County (TX),18.2,36146
48387,Red River County (TX),19.5,35643
48389,Reeves County (TX),25.1,40694
48391,Refugio County (TX),16.9,42898
48393,Roberts County (TX),7,67688
48395,Robertson County (TX),17.4,44355
48397,Rockwall County (TX),5.3,98442
48399,Runnels County (TX),17.3,41830
48401,Rusk County (TX),15.2,49872
48403,Sabine County (TX),20.2,37770
48405,San Augustine County (TX),21.6,39133
48407,San Jacinto County (TX),18.2,44707
48409,San Patricio County (TX),19,50752
48411,San Saba County (TX),17.1,43112
48413,Schleicher County (TX),16.2,45821
48415,Scurry County (TX),17.2,51772
48417,Shackelford County (TX),14.2,61155
48419,Shelby County (TX),20.8,39745
48421,Sherman County (TX),12.5,49349
48423,Smith County (TX),15.6,54044
48425,Somervell County (TX),10.4,62803
48427,Starr County (TX),32,28377
48429,Stephens County (TX),19.5,41977
48431,Sterling County (TX),12.2,55690
48433,Stonewall County (TX),15.3,43702
48435,Sutton County (TX),14.3,57986
48437,Swisher County (TX),19.9,41264
48439,Tarrant County (TX),11.6,65021
48441,Taylor County (TX),15.2,50338
48443,Terrell County (TX),19.3,39033
48445,Terry County (TX),21.5,40899
48447,Throckmorton County (TX),15.4,38162
48449,Titus County (TX),16.3,47097
48451,Tom Green County (TX),13.5,49462
48453,Travis County (TX),11.5,72785
48455,Trinity County (TX),21,34741
48457,Tyler County (TX),19.6,43394
48459,Upshur County (TX),16.4,47517
48461,Upton County (TX),14,56448
48463,Uvalde County (TX),20.5,39610
48465,Val Verde County (TX),21.4,41441
48467,Van Zandt County (TX),13.1,50308
48469,Victoria County (TX),15.7,52161
48471,Walker County (TX),23.1,42304
48473,Waller County (TX),15.5,55224
48475,Ward County (TX),15.1,53242
48477,Washington County (TX),12.9,51276
48479,Webb County (TX),27.3,41979
48481,Wharton County (TX),16,46194
48483,Wheeler County (TX),14.5,45356
48485,Wichita County (TX),16.8,44593
48487,Wilbarger County (TX),16.4,40353
48489,Willacy County (TX),35,30392
48491,Williamson County (TX),6.1,82131
48493,Wilson County (TX),9.1,70829
48495,Winkler County (TX),14.7,51965
48497,Wise County (TX),11.1,60675
48499,Wood County (TX),15.2,49739
48501,Yoakum County (TX),12,58363
48503,Young County (TX),15.8,44909
48505,Zapata County (TX),30,32172
48507,Zavala County (TX),31.6,28867
